,TransactionNo,TotalQuantity,TotalMoney
3789,573267,20,217.92
3790,573269,107,737.6800000000002
3791,573270,150,244.73
3792,573272,252,69.57
3793,573273,36,11.74
3794,573275,142,224.74
3795,573276,356,217.25
3796,573278,166,114.39
3797,573279,208,40.26
3798,573281,68,71.18
3799,573282,46,56.370000000000005
3800,573284,74,90.0
3801,573285,42,66.46
3802,573286,331,839.42
3803,573290,3,42.27
3804,573291,273,407.53
3805,573292,262,122.67
3806,573294,108,34.57
3807,573308,5,86.15
3808,573309,48,11.12
3809,573310,2,11.92
3810,573315,285,656.06
3811,573316,5,18.96
3812,572925,136,214.41000000000005
3813,572946,286,382.72
3814,573023,383,328.0199999999999
3815,573076,576,683.4000000000002
3816,573131,106,227.50000000000003
3817,573145,150,339.59
3818,573137,338,3204.25
3819,573074,321,416.56
3820,573085,150,347.79
3821,573029,286,1429.43
3822,573083,245,1063.7600000000002
3823,573093,63,460.55
3825,572960,153,139.98999999999998
3826,572964,281,464.45
3827,572999,21,70.87
3828,573020,455,683.6600000000001
3829,573075,56,394.71
3830,573130,603,850.5100000000001
3831,573133,54,156.22
3832,573135,101,234.79
3833,573136,108,128.49
3834,573033,161,202.33
3835,573038,214,1081.11
3836,573068,71,336.47
3837,573116,380,330.73
3838,573123,626,694.8899999999999
3839,573138,250,717.8800000000001
3840,573140,145,217.72
3841,573100,206,303.5499999999999
3842,573108,116,131.68
3843,572994,145,198.56000000000003
3844,573019,190,229.62000000000003
3845,573082,74,60.77
3846,572923,439,489.95
3847,572924,94,123.36
3848,572926,111,174.32
3849,572928,22,101.62
3850,572929,8,23.88
3851,572930,237,158.61
3852,572931,47,58.13
3853,572932,173,258.27
3854,572933,270,312.2600000000001
3855,572935,446,320.25999999999993
3856,572969,442,474.39
3857,572986,297,277.83
3858,572990,186,179.11
3859,572992,48,12.08
3860,572997,401,320.15
3861,572998,36,11.78
3862,573000,260,64.08
3863,573001,120,238.02
3866,573004,300,11.91
3868,573006,112,82.33
3869,573007,122,314.26
3871,573022,102,148.04
3872,573025,4,38.38
3873,573026,310,418.1499999999999
3874,573027,250,163.73000000000002
3875,573028,78,163.67000000000002
3876,573032,101,206.7
3878,573036,76,146.14
3879,573066,243,370.18
3880,573069,73,131.32
3881,573070,90,419.6300000000001
3882,573078,242,252.95
3883,573094,130,690.74
3884,573095,90,63.00999999999999
3885,573096,495,401.52
3886,573102,268,239.78
3887,573103,21,31.16
3888,573104,277,143.81
3889,573106,136,141.82
3890,573109,174,259.48
3891,573110,258,31.67
3892,573111,72,12.08
3893,573112,357,172.94
3894,573113,44,78.24000000000001
3895,573117,583,402.44000000000005
3896,573119,202,116.23
3897,573121,10,6.19
3898,573122,148,483.58
3899,573124,24,58.0
3900,573125,80,115.45
3901,573126,219,181.56000000000003
3902,573128,38,91.15
3903,573129,24,15.32
3904,573132,288,80.55000000000001
3905,573134,25,48.24
3906,573139,249,368.69999999999993
3907,573141,94,115.64
3908,573142,386,150.01
3910,573144,39,180.68
3912,573149,99,343.41
3913,573150,83,384.32
3914,573152,116,305.79
3915,572911,289,1089.7700000000002
3916,572886,240,320.76
3917,572764,59,147.79000000000002
3918,572853,215,407.8399999999999
3919,572859,114,712.5500000000002
3920,572887,203,509.73
3921,572835,321,88.37
3922,572877,24,69.54
3923,572897,494,2774.8900000000003
3924,572870,100,82.24
3925,572775,147,300.2299999999999
3926,572843,332,441.8
3927,572836,112,217.01
3928,572884,130,248.12
3929,572810,483,386.37
3930,572889,157,376.92
3931,572848,137,204.11
3932,572908,106,212.44000000000003
3933,572885,210,377.62
3934,572768,146,45.74
3935,572812,29,154.08999999999995
3936,572861,263,461.8500000000001
3937,572882,294,430.3
3938,572912,31,277.17
3940,572921,243,833.9000000000001
3941,572767,446,288.05
3942,572904,222,93.13
3943,572760,42,69.55999999999999
3944,572762,380,235.57
3945,572763,164,185.53000000000003
3948,572769,194,149.92
3949,572771,139,187.05
3951,572773,48,48.83
3952,572774,1,13.58
3953,572792,3,13.21
3954,572811,180,249.82
3955,572830,90,329.09
3956,572833,15,92.3
3957,572834,33,163.26000000000002
3958,572837,313,317.90000000000003
3959,572838,53,88.39
3961,572846,207,316.76
3962,572847,55,374.54
3963,572851,198,27.06
3964,572852,168,32.15
3965,572854,120,188.46
3966,572856,69,126.36999999999998
3967,572857,72,12.08
3968,572858,144,355.34
3969,572860,400,215.6
3970,572862,46,404.0300000000001
3971,572863,170,175.95999999999998
3972,572865,164,557.6
3973,572866,109,344.77
3974,572867,189,506.84
3975,572868,43,164.48999999999998
3977,572871,253,61.57999999999999
3978,572872,326,482.0
3979,572873,244,251.59
3980,572874,162,114.56
3981,572875,12,11.96
3982,572876,99,72.95
3983,572878,260,35.849999999999994
3984,572879,36,13.62
3985,572880,187,629.5000000000002
3987,572883,20,37.56
3988,572888,216,39.370000000000005
3989,572892,180,60.39999999999999
3990,572893,107,92.67
3991,572894,4,37.92
3992,572895,18,46.45
3993,572896,556,476.12
3994,572899,174,192.36
3995,572900,100,33.44
3996,572901,70,240.55
3997,572902,600,57.78
3998,572903,114,419.84
3999,572905,85,270.90000000000003
4000,572906,45,81.82
4001,572907,117,194.93
4002,572909,108,367.03
4003,572910,272,327.9600000000001
4004,572914,68,62.56
4005,572918,164,360.32
4006,572922,130,194.5
4007,572758,559,3694.99
4008,572565,193,295.77000000000004
4009,572704,511,1010.18
4010,572613,81,363.44
4011,572655,285,357.87000000000006
4012,572658,91,283.89
4013,572662,295,1018.7700000000002
4014,572675,56,364.44999999999993
4015,572695,251,323.36
4016,572743,498,482.35
4017,572751,209,414.64
4018,572560,128,169.62
4019,572735,520,465.48
4020,572737,174,177.31
4022,572568,330,198.92999999999995
4023,572612,98,146.25
4024,572703,380,1930.81
4025,572721,414,399.0100000000001
4026,572726,347,941.4800000000002
4027,572559,292,286.78
4028,572651,403,456.7500000000001
4029,572674,31,176.83
4030,572681,389,392.14
4031,572757,2,46.12
4033,572561,288,305.36
4034,572562,281,303.52000000000004
4035,572563,216,157.4
4036,572566,482,262.26
4038,572569,233,364.0199999999999
4039,572616,123,33.27
4040,572617,331,386.0
4041,572650,227,365.71000000000015
4043,572653,469,1180.72
4044,572654,24,24.380000000000003
4045,572657,166,142.54
4046,572660,50,313.52
4048,572663,42,169.64999999999998
4049,572664,232,101.95
4050,572666,228,102.52
4051,572667,172,232.14
4052,572668,142,601.34
4053,572669,376,1522.52
4055,572671,338,156.43
4056,572672,284,102.53
4057,572673,350,215.56
4058,572677,242,518.41
4059,572678,201,120.47
4060,572679,24,11.94
4061,572680,136,510.0799999999999
4062,572682,22,72.41000000000001
4063,572683,198,73.71
4064,572688,380,254.47
4066,572718,141,157.71999999999997
4067,572719,376,615.0900000000001
4068,572720,297,159.94000000000003
4070,572733,340,58.48
4072,572738,120,66.95
4073,572741,520,563.22
4074,572742,174,147.87
4075,572744,247,273.89000000000004
4076,572745,5,16.35
4077,572746,126,581.05
4078,572752,58,198.83
4079,572753,231,263.29
4080,572755,273,694.2300000000001
4081,572756,384,78.91
4082,572550,589,4176.78
4084,572540,390,2758.79
4085,572354,7,67.86
4086,572511,141,343.54
4087,572549,604,3392.2
4089,572336,396,264.73
4090,572528,453,936.94
4091,572465,140,491.31
4092,572483,70,195.22
4094,572490,91,344.72
4095,572517,234,804.5500000000001
4096,572329,484,313.56
4097,572459,220,208.02000000000004
4098,572513,356,1591.5900000000004
4099,572461,66,420.88
4100,572464,25,339.2900000000001
4101,572509,217,224.25
4102,572331,478,501.63
4103,572472,510,305.33000000000004
4104,572521,134,132.96
4105,572353,126,230.3
4106,572487,34,71.64
4108,572342,472,55.87
4109,572320,74,62.91
4110,572321,354,284.47
4111,572322,58,107.1
4112,572323,532,367.18
4113,572325,600,12.03
4115,572327,205,144.77
4116,572328,72,39.66
4117,572330,124,836.49
4118,572332,100,10.99
4119,572333,143,187.72
4120,572335,172,272.22
4122,572338,50,96.08
4123,572339,316,97.3
4125,572348,264,82.98999999999998
4126,572350,18,171.89999999999998
4127,572351,6,11.34
4128,572352,85,83.68
4129,572380,322,345.85
4130,572392,190,70.67
4131,572399,268,193.52
4132,572442,156,300.28000000000003
4133,572443,120,30.64
4134,572447,200,269.61
4135,572451,470,336.96
4136,572452,262,228.97
4137,572453,55,126.18
4138,572454,90,114.98999999999998
4139,572457,289,291.59000000000003
4140,572458,365,319.66
4141,572460,208,219.53
4142,572462,66,70.34
4143,572466,196,55.35
4144,572474,145,188.87
4145,572475,179,1081.12
4146,572484,138,498.31
4147,572504,34,52.37
4148,572512,189,97.39
4149,572515,22,55.74999999999999
4150,572518,48,15.32
4151,572519,175,103.56
4153,572541,65,189.9
4154,572542,569,403.21
4155,572544,131,434.37
4157,572555,36,11.34
4158,572281,174,974.9200000000004
4159,572292,102,415.71
4160,572305,11,132.45999999999998
4161,572300,48,285.37
4162,572284,213,614.5200000000001
4163,572287,123,546.3900000000001
4164,572295,350,1643.64
4165,572282,84,392.69
4166,572317,215,1222.2800000000002
4167,572277,108,160.86
4168,572296,58,522.77
4169,572303,62,271.97
4170,572304,254,300.2
4171,572306,321,1339.25
4172,572307,527,829.8800000000001
4173,572310,8,68.46000000000001
4174,572290,310,474.37000000000006
4175,572291,174,632.66
4176,572298,17,237.79
4177,572302,302,1065.5700000000002
4178,572313,74,192.02
4179,572278,38,280.67
4180,572279,52,258.73
4181,572280,212,716.4200000000002
4182,572283,218,1012.87
4183,572285,79,263.79
4184,572286,147,232.72
4185,572288,100,271.72
4186,572289,58,269.12
4187,572294,587,1003.11
4188,572297,55,115.74
4189,572301,56,378.77
4190,572308,38,240.67
4192,572311,172,356.43000000000006
4193,572312,237,691.9900000000001
4194,572314,302,339.34
4195,572315,45,148.23000000000002
4196,572316,87,268.93
4197,572318,227,1316.59
4198,572319,105,420.7099999999999
4199,572272,60,190.00000000000003
4200,572185,564,966.6699999999998
4201,572134,201,179.72000000000003
4202,572122,48,100.75
4203,572128,76,244.84
4204,572129,178,342.24000000000007
4206,572229,574,620.74
4207,572186,607,716.23
4208,572242,319,459.37
4209,572127,487,615.8600000000001
4210,572215,489,312.29999999999995
4211,572219,244,908.57
4212,572243,94,169.16
4214,572234,22,50.33
4215,572274,158,325.4200000000001
4217,572124,390,103.89
4218,572125,106,137.92000000000002
4219,572126,66,138.81
4220,572130,197,119.6
4221,572131,190,153.64
4222,572132,82,113.95
4223,572133,177,165.26
4224,572139,20,26.85
4225,572182,436,342.09000000000003
4226,572183,543,382.94000000000005
4227,572184,94,58.82
4228,572188,140,79.48
4229,572189,55,44.43
4230,572190,4,30.51
4231,572191,28,104.35
4232,572192,145,897.03
4234,572194,208,694.7300000000001
4235,572195,68,184.27
4237,572197,28,26.71
4238,572203,176,254.36
4239,572210,52,84.71000000000001
4240,572211,240,136.81
4242,572213,334,308.76
4243,572214,18,24.8
4244,572216,393,904.64
4245,572217,115,200.98
4246,572218,215,274.85
4247,572220,106,184.35
4248,572221,129,141.69
4249,572222,600,10.58
4251,572227,536,929.97
4252,572230,152,115.04000000000002
4253,572231,249,327.41
4254,572232,160,143.07999999999998
4256,572235,22,45.97
4257,572236,29,166.45000000000002
4258,572237,204,230.55
4259,572238,218,229.39
4260,572240,634,563.5899999999999
4261,572241,62,111.87
4262,572244,270,186.76
4263,572093,74,163.94
4264,572107,26,197.25
4265,572104,25,163.54000000000002
4266,572064,2,30.7
4267,571965,165,646.4500000000002
4268,572023,247,748.6500000000001
4270,572045,47,385.53
4272,572097,13,91.19
4273,572100,12,44.99
4274,572121,524,599.29
4275,572049,161,301.62999999999994
4276,572098,294,369.4
4277,572103,418,2971.7900000000004
4278,572094,96,100.02
4281,572025,243,247.88
4282,572026,125,266.17999999999995
4283,572030,418,606.3500000000001
4284,572055,69,581.21
4285,572058,221,1249.2000000000005
4286,572061,552,541.64
4287,572065,192,698.38
4288,572092,291,552.15
4289,572105,24,23.32
4290,571939,311,277.4700000000001
4291,571941,19,152.31
4292,571942,210,297.94
4293,571943,166,232.2
4294,572021,157,246.83
4295,572047,161,654.6500000000001
4296,572050,76,394.18000000000006
4297,572063,68,413.61
4298,572090,293,322.9599999999999
4299,572108,253,210.49
4300,572028,491,657.5400000000002
4301,572087,524,481.44
4302,572062,95,236.92
4303,571933,72,11.34
4304,571934,287,282.09000000000003
4305,571935,31,71.28
4306,571936,554,291.9
4307,571938,224,67.76
4308,571940,450,462.72
4309,571944,409,233.61
4311,571987,251,230.21
4312,572024,270,198.03
4313,572031,312,33.89
4314,572032,32,43.73
4315,572033,118,184.4
4316,572034,14,25.21
4317,572036,30,12.38
4318,572048,240,24.46
4321,572053,40,24.76
4322,572054,106,141.22
4323,572057,31,80.92
4324,572060,48,46.78
4326,572067,72,48.67
4327,572068,179,271.12
4328,572069,490,540.69
4329,572070,36,26.58
4330,572071,144,10.65
4331,572073,169,501.3200000000001
4332,572074,246,648.0100000000002
4333,572075,135,142.74999999999997
4334,572076,418,465.22
4335,572077,48,109.92000000000002
4336,572078,2,18.71
4337,572079,210,156.29000000000002
4338,572080,12,12.4
4339,572081,164,165.50000000000003
4340,572085,20,6.19
4341,572086,200,202.4
4342,572088,91,343.98
4343,572089,32,56.76
4344,572091,173,142.58
4345,572095,39,384.19
4346,572096,189,537.88
4347,572099,8,24.39
4348,572101,102,117.55
4349,572106,137,166.09
4350,571901,5,81.9
4351,571931,570,3607.4
4352,571797,406,2610.69
4353,571930,2,46.02
4354,571724,290,479.29
4355,571913,623,963.0100000000002
4356,571779,261,481.7500000000001
4358,571844,201,211.59
4359,571864,566,244.48
4360,571883,560,1922.0
4361,571746,395,604.7900000000001
4362,571793,115,101.94
4364,571829,534,321.54
4365,571846,488,1146.7000000000005
4366,571850,216,808.94
4367,571890,158,309.82
4368,571847,256,394.69
4369,571848,132,280.23999999999995
4370,571853,158,135.56
4371,571892,143,232.03000000000003
4372,571735,307,192.31
4373,571842,236,76.14999999999999
4374,571923,165,227.8
4375,571857,153,335.87999999999994
4376,571725,91,108.08
4377,571726,546,330.51
4378,571728,170,214.94
4379,571729,576,45.28
4380,571730,83,84.9
4381,571732,84,181.9
4382,571733,259,156.48
4383,571734,82,95.24
4384,571736,60,21.71
4385,571737,370,362.8400000000001
4386,571738,360,22.73
4387,571740,176,203.61
4388,571741,66,60.63
4389,571742,74,36.38
4390,571743,135,346.43000000000006
4391,571744,72,26.24
4393,571748,134,217.86
4394,571749,68,22.45
4395,571809,49,294.77
4396,571828,542,904.34
4397,571830,24,12.4
4398,571831,292,165.15
4399,571836,7,80.5
4400,571837,173,874.8
4401,571839,187,98.83
4402,571840,404,246.85
4403,571841,151,784.97
4404,571843,432,33.96
4405,571845,209,527.78
4406,571849,192,114.41
4407,571851,314,141.01000000000002
4408,571852,68,59.73
4409,571891,5,35.41
4410,571894,2,26.14
4411,571895,408,147.49
4412,571898,78,70.77
4413,571899,45,419.3399999999999
4414,571903,53,124.73
4415,571904,128,65.73
4416,571905,380,372.12
4417,571906,3,15.32
4418,571908,290,96.33
4419,571909,301,1743.65
4420,571910,1,14.09
4421,571911,46,39.04
4422,571912,407,330.28000000000003
4423,571914,440,178.1
4424,571916,24,10.92
4425,571917,269,78.13
4426,571918,240,292.72
4427,571920,146,198.43
4428,571926,254,175.07999999999998
4429,571929,3,24.74
4430,571932,1,11.94
4431,571863,2,20.45
4432,571547,51,103.19
4433,571556,295,393.2
4435,571554,638,1010.13
4436,571713,560,3622.65
4437,571714,314,2283.2300000000005
4438,571652,236,378.98
4439,571697,269,365.93
4440,571701,632,746.5200000000001
4441,571705,488,694.0
4442,571559,283,379.6500000000001
4443,571638,116,147.59
4445,571676,128,1150.69
4446,571682,220,1628.1800000000003
4447,571710,200,357.20000000000005
4448,571712,297,854.0399999999998
4449,571629,289,567.39
4452,571565,82,127.86
4453,571658,343,256.51
4454,571715,165,557.08
4456,571549,302,213.03
4457,571550,420,23.41
4458,571551,128,200.28
4459,571552,182,155.64
4460,571553,504,11.34
4461,571555,106,78.18
4462,571557,184,117.12
4463,571558,220,133.60000000000002
4464,571560,170,295.82
4465,571561,378,268.70000000000005
4466,571562,342,245.43
4467,571563,188,272.32
4468,571564,218,311.75
4469,571566,359,286.57
4470,571594,240,13.27
4471,571595,230,51.82
4472,571601,96,410.4
4473,571610,400,11.53
4474,571622,46,49.48
4475,571628,42,100.99
4476,571636,172,90.61
4478,571641,368,148.16
4479,571642,15,49.5
4480,571654,68,512.89
4481,571655,112,129.03
4482,571656,142,378.77
4483,571657,105,192.91
4484,571660,490,461.8199999999999
4485,571662,117,78.31
4486,571663,40,35.78
4487,571664,144,24.8
4488,571666,560,95.4
4489,571667,228,666.45
4490,571668,138,236.48
4491,571669,451,780.6600000000002
4493,571672,154,181.05
4494,571673,300,115.81
4495,571675,148,117.82
4496,571677,55,93.75
4497,571679,161,458.87
4498,571681,237,269.08
4499,571683,108,178.8
4500,571684,244,525.4499999999999
4501,571685,188,68.54
4502,571690,279,215.59
4503,571691,80,148.19
4504,571692,7,33.66
4505,571693,440,178.1
4506,571694,160,137.90999999999997
4507,571696,159,201.13
4509,571700,1,16.35
4510,571702,10,31.26
4511,571703,1,6.19
4512,571706,152,87.75
4513,571708,280,138.2
4514,571709,228,237.27
4515,571717,146,655.44
4516,571305,366,2156.11
4519,571425,223,586.9399999999999
4521,571404,365,397.16
4522,571377,66,243.93
4523,571411,131,443.03
4524,571444,227,311.62999999999994
4525,571502,593,886.68
4526,571408,145,939.29
4528,571438,317,622.5
4529,571445,197,272.31999999999994
4530,571476,106,416.52
4531,571546,69,140.73999999999998
4532,571406,202,230.7800000000001
4533,571412,79,135.1
4534,571475,250,1114.49
4535,571498,239,1080.7700000000002
4536,571500,101,594.1199999999999
4537,571352,33,110.84
4538,571446,572,220.5
4540,571299,200,12.08
4541,571300,182,142.52
4542,571301,186,39.44
4543,571302,246,29.04
4544,571303,311,242.05
4545,571304,222,336.22
4547,571307,272,350.8999999999999
4548,571308,532,442.61
4549,571309,13,139.33000000000004
4550,571310,463,292.92
4551,571311,38,32.8
4552,571312,476,433.92
4554,571314,456,116.77
4555,571315,46,67.00999999999999
4556,571317,207,495.61
4558,571322,208,195.75
4559,571323,203,176.71
4561,571360,486,261.23
4562,571372,268,473.07
4563,571405,12,28.18
4564,571407,85,83.84
4565,571409,596,694.2200000000001
4566,571410,49,112.69
4567,571413,185,265.95
4568,571418,73,385.30000000000007
4569,571426,222,129.45
4571,571428,103,116.94
4572,571429,80,466.66
4573,571430,74,77.45
4574,571431,340,18.9
4575,571432,288,11.74
4576,571434,244,125.56
4577,571435,377,291.77
4578,571436,62,51.6
4579,571437,7,18.57
4580,571439,76,91.74
4581,571443,67,167.39
4582,571447,36,13.62
4583,571456,322,586.5200000000002
4584,571457,84,73.55
4585,571461,87,589.1000000000001
4586,571462,52,66.39
4587,571463,377,267.59
4588,571464,41,189.18
4589,571465,168,444.78
4591,571477,365,305.69
4592,571486,467,346.17
4593,571496,400,203.15
4594,571497,280,182.84
4595,571504,202,76.23
4596,571505,616,355.13000000000005
4597,571506,18,114.75
4598,571509,51,350.5799999999999
4599,571510,70,81.05000000000001
4600,571511,160,173.97
4601,571544,200,668.98
4602,571545,11,93.37
4603,571269,45,332.47
4604,571280,202,847.4100000000001
4605,571274,364,742.5600000000002
4607,571286,233,1082.5100000000002
4608,571270,316,1095.03
4609,571272,475,540.7300000000001
4610,571275,177,480.25
4611,571290,311,386.11
4612,571266,133,471.2299999999999
4613,571273,253,337.47
4614,571283,375,1022.7100000000004
4615,571293,55,295.4
4616,571297,1,23.32
4617,571265,124,754.04
4618,571259,360,11.12
4619,571260,69,98.06
4620,571261,360,11.12
4621,571263,98,190.11
4622,571267,69,99.04
4623,571268,101,225.27
4624,571271,72,374.51
4625,571276,157,666.63
4626,571277,35,148.73
4627,571278,100,81.54
4628,571279,163,451.75999999999993
4629,571282,88,641.19
4630,571284,146,607.1300000000003
4631,571288,282,435.21
4633,571291,108,491.35
4634,571292,128,526.36
4635,571294,115,485.75
4636,571295,117,177.23999999999998
4637,571296,101,363.75
4638,571239,599,501.55
4640,571119,584,1134.88
4641,571257,356,2953.54
4643,571215,176,271.1
4644,571230,180,217.6
4645,571240,232,270.74000000000007
4646,571123,485,638.7300000000001
4647,571188,211,510.93
4648,571197,148,397.9899999999999
4649,571221,188,469.79
4650,571180,326,512.8
4651,571183,450,1055.19
4652,571212,308,973.2300000000002
4653,571216,114,720.03
4655,571226,55,62.71
4657,571247,444,503.97
4658,571184,288,311.09000000000003
4659,571118,46,40.97
4660,571120,307,191.81
4661,571121,97,145.21
4662,571122,48,22.45
4663,571125,588,133.67000000000002
4664,571129,352,204.62
4665,571142,240,267.28000000000003
4666,571158,112,291.30999999999995
4667,571169,38,92.46
4668,571178,134,175.18000000000004
4669,571181,10,17.51
4670,571182,8,12.25
4671,571185,226,425.11
4672,571187,226,291.28
4674,571190,173,355.46
4675,571192,132,244.96
4676,571193,264,168.37
4677,571196,258,226.65
4678,571199,300,10.62
4679,571200,226,144.22000000000003
4680,571201,240,260.4700000000001
4681,571202,72,13.27
4682,571205,315,570.4000000000001
4683,571213,173,189.79
4684,571214,451,652.6200000000002
4685,571217,333,326.30000000000007
4686,571218,48,21.3
4687,571222,3,30.85
4688,571224,291,300.73
4689,571225,98,90.53
4690,571227,316,478.61
4691,571228,36,39.81
4692,571229,146,472.52
4694,571232,10,6.19
4695,571234,112,21.36
4696,571235,198,133.78
4697,571236,12,12.86
4698,571237,12,12.4
4699,571238,72,174.91
4700,571241,114,622.27
4702,571244,154,380.19999999999993
4703,571245,206,81.2
4704,571246,326,119.87
4705,571248,31,43.5
4706,571250,36,12.86
4707,571256,1,13.21
4708,571258,31,198.92
4709,571204,6,20.45
4711,571061,391,2434.24
4712,570984,48,148.41
4713,570919,60,238.44
4714,571081,62,407.3999999999999
4715,571082,478,2566.17
4716,571035,351,802.0
4717,571041,37,221.41
4718,571046,520,1413.37
4719,571058,312,330.5
4720,571080,77,209.78
4721,571117,318,395.75
4722,570884,92,251.11
4723,570973,26,88.91
4725,571031,128,381.7799999999999
4726,571038,52,471.44
4727,571039,444,1599.3200000000002
4728,571040,128,530.69
4729,571056,303,385.69
4731,571098,200,675.4300000000002
4732,571105,238,1245.63
4733,571049,181,244.75000000000009
4734,570877,120,49.52
4735,570878,10,37.42
4736,570879,122,125.61
4737,570880,247,226.75000000000009
4738,570881,67,168.28000000000003
4739,570882,64,89.10999999999999
4740,570883,347,313.71
4741,570885,172,185.85
4743,570887,424,448.22
4744,570888,508,666.6200000000001
4745,570896,27,70.55
4746,570906,120,132.84
4747,570910,178,252.97
4748,570961,192,35.03
4750,570983,268,370.62
4751,571006,230,252.77
4752,571007,52,163.31000000000003
4753,571008,12,13.27
4754,571017,276,154.2
4755,571028,93,497.1
4756,571032,46,423.09
4758,571036,567,424.0
4759,571043,4,12.86
4760,571044,171,157.28
4761,571047,214,254.91
4762,571048,60,46.78
4763,571050,24,10.92
4764,571052,3,34.12
4765,571053,232,410.62
4766,571054,502,1568.24
4767,571055,380,124.19
4768,571057,4,17.17
4769,571060,1,12.8
4770,571062,171,340.29
4771,571063,103,88.30000000000001
4772,571064,25,285.23
4773,571067,146,203.78
4774,571069,97,254.56
4775,571090,34,68.82
4776,571099,542,42.82
4777,571100,108,45.38
4778,571101,361,342.64
4779,571102,4,18.4
4780,571103,147,265.92999999999995
4781,571104,258,226.65
4782,571106,68,212.46000000000004
4783,571107,75,161.63000000000005
4784,571108,32,73.23
4785,571109,2,13.58
4786,570827,418,1143.5099999999998
4787,570806,608,514.2800000000001
4788,570872,501,3783.65
4790,570793,77,322.42
4791,570720,410,267.09000000000003
4792,570721,471,440.06
4793,570836,203,335.6599999999999
4794,570856,403,554.89
4795,570857,38,281.41
4796,570862,360,351.04999999999995
4797,570700,75,172.32999999999998
4798,570706,2,23.32
4799,570713,129,274.16
4800,570818,359,1571.85
4801,570834,50,99.71
4802,570839,406,524.19
4803,570791,171,473.28
4804,570724,162,147.23999999999998
4805,570841,218,238.66
4806,570694,46,89.48
4807,570695,196,145.73
4808,570696,140,122.84
4809,570697,83,117.42
4810,570698,150,121.69
4811,570699,121,124.68
4813,570702,48,12.15
4814,570703,510,634.0700000000002
4815,570707,44,40.33
4816,570714,335,226.26
4818,570716,6,14.5
4819,570717,108,122.72
4820,570718,322,295.30999999999995
4821,570719,189,313.7200000000001
4822,570722,76,26.66
4823,570723,96,11.53
4824,570726,109,131.79
4825,570731,12,11.53
4826,570733,160,205.84
4827,570754,93,179.92999999999998
4828,570761,14,168.12
4829,570769,72,29.0
4830,570776,276,369.44
4831,570784,26,63.03
4832,570790,115,109.56
4833,570792,328,205.33
4834,570794,60,52.53
4835,570795,48,53.760000000000005
4836,570796,86,445.98
4838,570798,72,11.34
4839,570799,104,140.56
4840,570807,168,320.11999999999995
4841,570821,108,119.98
4842,570823,98,100.84
4843,570824,230,146.01999999999998
4844,570825,90,106.26999999999998
4845,570826,189,410.04
4846,570829,324,266.02000000000004
4847,570830,357,452.48
4848,570832,17,47.0
4849,570833,116,199.88
4850,570837,258,226.65
4851,570838,35,54.77
4852,570840,22,114.73
4853,570842,248,225.64
4854,570843,159,210.13
4855,570844,40,12.86
4856,570846,13,58.31
4857,570847,57,74.24000000000001
4858,570848,40,12.86
4859,570849,80,25.72
4860,570851,100,65.74
4861,570852,160,189.06
4862,570855,637,561.3899999999999
4863,570858,7,61.85
4864,570859,68,107.76
4865,570861,372,227.62
4866,570863,140,188.56
4867,570864,194,101.25
4868,570865,64,44.42
4869,570866,67,134.64
4870,570875,391,409.53
4871,570876,97,271.19
4872,570690,541,3214.54
4873,570592,543,1113.31
4875,570640,252,391.16
4877,570677,206,622.1600000000001
4878,570597,422,594.5900000000001
4880,570663,259,106.23
4882,570675,67,147.32999999999998
4883,570492,237,372.05000000000007
4884,570499,551,727.4200000000003
4885,570501,276,396.15
4886,570521,582,832.6700000000001
4887,570594,388,431.65
4888,570651,85,62.01
4889,570676,107,210.07
4890,570680,486,865.3200000000002
4891,570693,183,734.7900000000001
4892,570555,305,407.04
4893,570513,344,234.02
4894,570679,132,270.67
4895,570498,260,274.03000000000003
4896,570638,185,302.13
4897,570493,10,17.51
4898,570494,172,185.53
4899,570495,116,46.6
4900,570496,438,140.5
4901,570497,2,23.91
4902,570500,170,288.51
4903,570502,35,64.05
4904,570503,65,150.98999999999998
4905,570504,47,74.31
4906,570505,263,201.67
4907,570506,60,46.49999999999999
4908,570507,158,197.89
4909,570509,260,285.86000000000007
4910,570510,4,18.71
4911,570511,100,76.46000000000001
4912,570512,60,105.06000000000002
4913,570514,447,427.74000000000007
4914,570516,234,229.61
4915,570517,278,257.06000000000006
4917,570554,1,10.64
4919,570590,279,189.29
4920,570591,115,198.95
4921,570593,538,290.92
4922,570600,122,164.20999999999998
4923,570601,60,52.3
4924,570602,57,99.39
4925,570632,116,90.35
4926,570634,37,181.11
4927,570637,311,200.62
4928,570642,127,76.06
4929,570646,232,321.20000000000005
4930,570648,123,91.72
4931,570649,160,223.51
4932,570650,210,675.0999999999999
4934,570653,115,371.27
4936,570657,416,221.81
4937,570659,72,40.12
4939,570661,120,133.69
4940,570662,36,12.4
4941,570664,83,305.3
4942,570665,8,53.4
4943,570666,135,131.72
4944,570667,160,137.07999999999998
4945,570668,54,236.81
4946,570669,199,238.53
4947,570670,138,143.95
4948,570671,24,41.25
4949,570673,44,65.28
4950,570678,91,41.97
4951,570682,153,151.39
4952,570685,195,447.7199999999999
4953,570465,626,3214.01
4955,570258,419,2480.86
4956,570252,238,327.17
4958,570282,68,137.74
4959,570410,262,929.76
4960,570416,352,547.57
4961,570455,152,1213.37
4962,570247,144,319.34
4963,570254,99,142.45
4964,570255,198,403.52
4965,570257,129,161.82000000000002
